Dataset limpio
fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_bin	num_iterations	force_row_wise	seed	learning_rate	num_leaves	feature_fraction	min_data_in_leaf	envios	ganancia	iteracion
20241118 060337	binary	custom	TRUE	TRUE	FALSE	-100	31	4333	TRUE	627943	0.0247168214541161	438	0.509286627615802	5516	8083	232960000	1
20241118 061404	binary	custom	TRUE	TRUE	FALSE	-100	31	781	TRUE	627943	0.174302898268914	182	0.335284546670737	3157	9383	259140000	2
20241118 062303	binary	custom	TRUE	TRUE	FALSE	-100	31	321	TRUE	627943	0.260472278498462	151	0.390322637748905	3423	13390	262710000	4
20241118 065904	binary	custom	TRUE	TRUE	FALSE	-100	31	1261	TRUE	627943	0.0512054939164082	1011	0.810642273838166	3810	11360	263200000	7
20241118 070455	binary	custom	TRUE	TRUE	FALSE	-100	31	492	TRUE	627943	0.209195912326686	356	0.588114113176707	5990	14477	269955000	8
20241118 073600	binary	custom	TRUE	TRUE	FALSE	-100	31	746	TRUE	627943	0.226436528979335	836	0.690385396487545	1662	9745	276465000	12
20241118 075000	binary	custom	TRUE	TRUE	FALSE	-100	31	524	TRUE	627943	0.249808975745225	820	0.252192594334483	468	14791	301910000	15
20241118 094004	binary	custom	TRUE	TRUE	FALSE	-100	31	651	TRUE	627943	0.270650012265804	1024	0.645501497747045	1488	15000	312760000	22
20241118 095701	binary	custom	TRUE	TRUE	FALSE	-100	31	715	TRUE	627943	0.243022221522189	945	0.560604537563092	537	14682	313600000	25
20241118 114158	binary	custom	TRUE	TRUE	FALSE	-100	31	3145	TRUE	627943	0.0347900153108068	732	0.551934348639222	987	14642	320040000	34

Dataset estacional
